name,index year,overall score,property rights,government integrity,tax burden,government spending,business freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Australia,2019,80.9,79.1,79.9,62.8,60.1,88.3,86.6,87.6,80,90
Hong Kong,2019,90.2,93.3,83.8,93.1,90.3,96.4,86.4,95,90,90
New Zealand,2019,84.4,95,96.7,71,50.4,91,87.5,92.4,80,80
Singapore,2019,89.4,97.4,95.1,90.4,90.7,90.8,85.3,94.8,85,80
Switzerland,2019,81.9,85.3,88,70.5,64.8,75.4,85.2,87.4,85,90
Australia,2018,80.9,78.7,77.4,63,61.2,89.1,87.4,86.2,80,90
Hong Kong,2018,90.2,92.5,82.8,93.1,90.2,96.3,84.3,90,90,90
New Zealand,2018,84.2,95.1,95.7,70.5,49.5,91.5,90,87.4,80,80
Singapore,2018,88.8,98.4,91.2,90.4,90.6,90.9,85.2,90,85,80
Switzerland,2018,81.7,84.2,82.8,70.5,65.4,75.7,85.2,90,85,90
Australia,2017,81,81.7,74.8,63.2,59,89.3,86.4,86.2,80,90
Hong Kong,2017,89.8,93.7,80.3,93,90,94.6,83.2,90,90,90
New Zealand,2017,83.7,96.1,89.9,70.8,46.5,91.8,90.1,87.4,80,80
Singapore,2017,88.6,97.1,87.9,90.5,90.1,95.1,84.3,90,85,80
Switzerland,2017,81.5,86.9,80.3,70.9,67.5,76.8,84.4,90,85,90
Australia,2016,80.3,90,80,63.2,62,89.4,85.2,86.4,80,90
Hong Kong,2016,88.6,90,74,92.6,90.7,97.4,81.8,90,90,90
New Zealand,2016,81.6,95,91,71,46,91.4,88.1,87.2,80,80
Singapore,2016,87.8,90,84,91.2,90.1,95,81.8,90,85,80
Switzerland,2016,81,90,86,70.9,66.3,82.2,87.8,90,85,80
Australia,2015,81.4,90,81,63.7,61.8,94.1,85.3,86.4,80,90
Hong Kong,2015,89.6,90,75,93.2,89.7,100,81.8,90,90,90
New Zealand,2015,82.1,95,91,70.4,43,95.5,87.6,86.8,80,80
Singapore,2015,89.4,90,86,91.2,93.8,96.9,83.7,90,85,80
Switzerland,2015,80.5,90,85,70.3,65.1,78.1,86.3,90,85,80
Australia,2014,82,90,87.7,64.2,62.6,94.6,80.5,86.4,85,90
Hong Kong,2014,90.1,90,82.3,93,89.7,98.9,82,90,90,90
New Zealand,2014,81.2,95,94,71.2,32.3,96.1,86.3,86.8,80,80
Singapore,2014,89.4,90,91.9,91.2,91.2,96.8,81.5,90,85,80
Switzerland,2014,81.6,90,88.1,68.9,65.7,75.4,85.2,90,85,80
Australia,2013,82.6,90,88,66.4,62.8,95.5,83.8,86.2,80,90
Hong Kong,2013,89.3,90,84,92.9,88.9,98.9,82.1,90,90,90
New Zealand,2013,81.4,95,95,71.5,33.2,99.9,83.3,86.8,80,80
Singapore,2013,88,90,92,91.1,91.3,97.1,82,90,75,80
Switzerland,2013,81,90,88,68.1,63.8,75.8,86.2,90,80,80
Australia,2012,83.1,90,87,63.4,67.1,91.9,84.5,86.2,80,90
Hong Kong,2012,89.9,90,84,93.1,91,98.9,85.8,90,90,90
New Zealand,2012,82.1,95,93,71.6,45,99.9,85.2,86.8,75,80
Singapore,2012,87.5,90,93,91.3,91.3,97.2,84.8,90,75,70
Switzerland,2012,81.1,90,87,67.9,65.8,77.9,84.4,90,80,80
Australia,2011,82.5,90,87,61.3,64.7,90.1,85,84.4,80,90
Hong Kong,2011,89.7,90,82,93.3,89.6,98.7,87.1,90,90,90
New Zealand,2011,82.3,95,94,64.7,49.3,99.9,84.8,86.6,80,80
Singapore,2011,87.2,90,92,91.1,91.3,98.2,86.2,90,75,60
Switzerland,2011,81.9,90,90,68.4,69.3,80.2,83.8,90,80,80
Australia,2010,82.6,90,87,61.4,64.9,90.3,82.7,85.1,80,90
Hong Kong,2010,89.7,90,81,93,93.7,98.7,83.1,90,90,90
New Zealand,2010,82.1,95,93,63.6,51.3,99.9,83.1,86,80,80
